	SMILES	Number	Lattice
0	CCc1cc(C(N)=S)ccn1	2	('30.502558800000003', '0.0', '0.0', '0.0', '30.502558800000003', '0.0', '0.0', '0.0', '30.502558800000003')
1	On1nnc2cccnc21	6	('20.36922552', '0.0', '0.0', '0.0', '20.36922552', '0.0', '0.0', '0.0', '20.36922552')
2	Cc1c(O)c(=O)ccn1C	7	('24.34648104', '0.0', '0.0', '0.0', '24.34648104', '0.0', '0.0', '0.0', '24.34648104')
3	Cc1ccc2c(c1)CN(C)CO2	8	('24.650559360000003', '0.0', '0.0', '0.0', '24.650559360000003', '0.0', '0.0', '0.0', '24.650559360000003')
4	c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1	9	('29.09277', '0.0', '0.0', '0.0', '29.09277', '0.0', '0.0', '0.0', '29.09277')
5	COc1cc(N)c(N)cc1OC	10	('47.86952688', '0.0', '0.0', '0.0', '47.86952688', '0.0', '0.0', '0.0', '47.86952688')
6	CO[N]N([O])C(Cn1cc([N+](=O)[O-])cn1)N([O])[N]OC	11	('31.00762728', '0.0', '0.0', '0.0', '31.00762728', '0.0', '0.0', '0.0', '31.00762728')
7	CC1(C)OC(=O)C(=O)c2sc(=S)sc21	12	('39.80213748', '0.0', '0.0', '0.0', '39.80213748', '0.0', '0.0', '0.0', '39.80213748')
8	O=c1[nH]cc(O)c(=O)[nH]1	14	('43.0387776', '0.0', '0.0', '0.0', '43.0387776', '0.0', '0.0', '0.0', '43.0387776')
9	O=C1[C](N2[CH]C=C(C(=O)c3ccccc3)C=C2)C(=O)C1=O	15	('29.701932120000002', '0.0', '0.0', '0.0', '29.701932120000002', '0.0', '0.0', '0.0', '29.701932120000002')
10	OCc1sc(=S)sc1CO	16	('25.43922612', '0.0', '0.0', '0.0', '25.43922612', '0.0', '0.0', '0.0', '25.43922612')
11	CC(=O)c1ncn(C)n1	17	('22.159826640000002', '0.0', '0.0', '0.0', '22.159826640000002', '0.0', '0.0', '0.0', '22.159826640000002')
12	[O-][n+]1cccnc1	21	('37.27616004', '0.0', '0.0', '0.0', '37.27616004', '0.0', '0.0', '0.0', '37.27616004')
13	O=[N+]([O-])c1ccc(O)cc1	23	('26.168040360000003', '0.0', '0.0', '0.0', '26.168040360000003', '0.0', '0.0', '0.0', '26.168040360000003')
14	C[C@@H]1CNc2nnnn2N1	24	('18.402083280000003', '0.0', '0.0', '0.0', '18.402083280000003', '0.0', '0.0', '0.0', '18.402083280000003')
15	O=c1[nH]c2ccccc2[nH]1	25	('23.82791796', '0.0', '0.0', '0.0', '23.82791796', '0.0', '0.0', '0.0', '23.82791796')
16	c1ccc(N2[N]c3nnnnc3[N]2)cc1	26	('24.2116938', '0.0', '0.0', '0.0', '24.2116938', '0.0', '0.0', '0.0', '24.2116938')
17	NC(=O)c1cc([N+](=O)[O-])ccc1O	28	('24.4157004', '0.0', '0.0', '0.0', '24.4157004', '0.0', '0.0', '0.0', '24.4157004')
